match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3920384,Côte d'Ivoire,598,10,0.7068961659999999,103,12,48,20,10,9,9,0,1998,0,2,home,2024-01-13,Africa - African Cup of Nations,2023,Côte d'Ivoire,Guinea-Bissau,2,0,home_win,433,3,433.0,win
3920384,Guinea-Bissau,394,10,0.5296147163,145,13,36,26,11,15,17,0,1450,0,1,away,2024-01-13,Africa - African Cup of Nations,2023,Côte d'Ivoire,Guinea-Bissau,2,0,home_win,4231,2,433.0,loss
3920385,Egypt,589,22,1.9291997944000001,141,9,59,25,15,11,12,0,2024,0,1,home,2024-01-14,Africa - African Cup of Nations,2023,Egypt,Mozambique,2,2,draw,4231,2,442.0,draw
3920385,Mozambique,373,6,0.728198501,140,9,31,19,15,11,40,0,1445,0,3,away,2024-01-14,Africa - African Cup of Nations,2023,Egypt,Mozambique,2,2,draw,4411,2,343.0,draw
3920386,Equatorial Guinea,365,8,0.332085009,143,12,46,41,7,5,27,0,1358,0,2,away,2024-01-14,Africa - African Cup of Nations,2023,Nigeria,Equatorial Guinea,1,1,draw,4231,1,4231.0,draw
3920386,Nigeria,380,19,2.6872513775,150,13,50,25,15,5,15,0,1412,0,1,home,2024-01-14,Africa - African Cup of Nations,2023,Nigeria,Equatorial Guinea,1,1,draw,4141,2,4141.0,draw
3920387,Cape Verde Islands,417,15,2.720214145,122,15,34,24,24,9,17,0,1511,0,3,away,2024-01-14,Africa - African Cup of Nations,2023,Ghana,Cape Verde Islands,1,2,away_win,433,1,433.0,win
3920387,Ghana,386,11,1.437942942,185,17,40,33,16,16,13,0,1504,0,3,home,2024-01-14,Africa - African Cup of Nations,2023,Ghana,Cape Verde Islands,1,2,away_win,4231,0,,loss
3920388,Gambia,291,12,1.008395458,128,13,41,24,11,8,20,0,1143,1,0,away,2024-01-15,Africa - African Cup of Nations,2023,Senegal,Gambia,3,0,home_win,4321,3,3412.0,loss
3920388,Senegal,594,14,1.7206511999999998,129,20,34,32,8,5,8,0,1986,0,2,home,2024-01-15,Africa - African Cup of Nations,2023,Senegal,Gambia,3,0,home_win,433,2,433.0,win
