match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3939969,Argentina,652,19,3.538291301,137,19,35,16,19,10,8,0,2171,0,2,home,2024-06-21,South America - Copa America,2024,Argentina,Canada,2,0,home_win,442,2,352.0,win
3939969,Canada,353,10,0.9772994850000001,219,10,40,29,15,9,17,0,1448,0,2,away,2024-06-21,South America - Copa America,2024,Argentina,Canada,2,0,home_win,442,2,442.0,loss
3939970,Chile,558,11,1.024763887,122,20,49,36,13,6,14,0,1922,0,3,away,2024-06-22,South America - Copa America,2024,Peru,Chile,0,0,draw,4231,1,4231.0,draw
3939970,Peru,323,7,0.677275209,187,23,38,51,11,9,12,0,1291,0,1,home,2024-06-22,South America - Copa America,2024,Peru,Chile,0,0,draw,352,0,,draw
3939971,Jamaica,375,13,0.506159274,117,7,58,45,12,10,30,0,1367,0,0,away,2024-06-23,South America - Copa America,2024,Mexico,Jamaica,1,0,home_win,343,3,433.0,loss
3939971,Mexico,565,20,1.136080327,142,8,67,35,14,11,28,0,1941,0,0,home,2024-06-23,South America - Copa America,2024,Mexico,Jamaica,1,0,home_win,433,1,4231.0,win
3939972,Ecuador,298,9,0.7355915667,127,21,54,47,16,10,25,0,1184,1,2,home,2024-06-23,South America - Copa America,2024,Ecuador,Venezuela,1,2,away_win,4231,3,4231.0,loss
3939972,Venezuela,550,14,1.585018539,106,18,56,32,8,7,22,0,1854,0,2,away,2024-06-23,South America - Copa America,2024,Ecuador,Venezuela,1,2,away_win,4231,4,442.0,win
3939973,Panama,379,10,0.540888124,129,13,49,34,21,7,23,0,1419,0,1,away,2024-06-24,South America - Copa America,2024,Uruguay,Panama,3,1,home_win,343,1,343.0,loss
3939973,Uruguay,450,20,1.361440743,135,17,39,27,10,8,22,0,1589,0,0,home,2024-06-24,South America - Copa America,2024,Uruguay,Panama,3,1,home_win,4231,1,4231.0,win
3939974,Bolivia,391,6,0.1496907824,183,20,44,23,10,10,24,0,1500,0,4,away,2024-06-24,South America - Copa America,2024,United States,Bolivia,2,0,home_win,352,2,4231.0,loss
3939974,United States,584,20,2.404683808,131,11,47,30,13,8,7,0,1896,0,1,home,2024-06-24,South America - Copa America,2024,United States,Bolivia,2,0,home_win,433,1,433.0,win
3939975,Colombia,561,11,0.621920841,115,10,49,45,17,8,21,0,1859,0,1,home,2024-06-25,South America - Copa America,2024,Colombia,Paraguay,2,1,home_win,41212,1,41212.0,win
3939975,Paraguay,291,11,0.827596594,178,20,52,32,18,10,19,0,1135,0,2,away,2024-06-25,South America - Copa America,2024,Colombia,Paraguay,2,1,home_win,433,2,4231.0,loss
3939976,Brazil,748,20,1.621192136,123,13,47,32,21,9,10,0,2481,0,1,home,2024-06-25,South America - Copa America,2024,Brazil,Costa Rica,0,0,draw,4231,1,442.0,draw
