match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3788741,Italy,669,24,1.590934893,161,9,55,24,20,18,18,0,2288,0,0,away,2021-06-11,Europe - UEFA Euro,2020.0,Turkey,Italy,0.0,3.0,away_win,433,0,,win
3788741,Turkey,390,3,0.151005756,221,14,37,27,12,29,21,0,1515,0,2,home,2021-06-11,Europe - UEFA Euro,2020.0,Turkey,Italy,0.0,3.0,away_win,4141,1,4141.0,loss
3788742,Denmark,678,22,1.9525803769999999,118,11,60,27,8,11,16,0,2180,0,0,home,2021-06-12,Europe - UEFA Euro,2020.0,Denmark,Finland,0.0,1.0,away_win,433,2,4231.0,loss
3788742,Finland,307,1,0.2884817,236,13,34,46,6,16,41,0,1308,0,2,away,2021-06-12,Europe - UEFA Euro,2020.0,Denmark,Finland,0.0,1.0,away_win,352,0,,win
3788743,Belgium,763,9,1.393354907,98,12,39,23,24,15,18,0,2416,0,0,home,2021-06-12,Europe - UEFA Euro,2020.0,Belgium,Russia,3.0,0.0,home_win,3421,1,3421.0,win
3788743,Russia,401,5,0.257274859,178,14,44,43,7,14,14,0,1442,0,0,away,2021-06-12,Europe - UEFA Euro,2020.0,Belgium,Russia,3.0,0.0,home_win,4231,1,3421.0,loss
3788744,Switzerland,563,18,1.559877515,81,10,33,38,11,10,11,0,1804,0,2,away,2021-06-12,Europe - UEFA Euro,2020.0,Wales,Switzerland,1.0,1.0,draw,3412,0,,draw
3788744,Wales,329,9,0.575944251,140,6,29,24,7,8,23,0,1193,0,1,home,2021-06-12,Europe - UEFA Euro,2020.0,Wales,Switzerland,1.0,1.0,draw,4141,1,4141.0,draw
3788745,Croatia,483,8,0.3400918204,163,13,35,21,16,15,14,0,1665,0,3,away,2021-06-13,Europe - UEFA Euro,2020.0,England,Croatia,1.0,0.0,home_win,433,0,,loss
3788745,England,470,8,0.706855833,190,9,41,21,11,22,14,0,1701,0,1,home,2021-06-13,Europe - UEFA Euro,2020.0,England,Croatia,1.0,0.0,home_win,4231,2,433.0,win
3788746,Netherlands,705,15,1.429754443,171,9,55,21,13,7,6,0,2414,0,0,home,2021-06-13,Europe - UEFA Euro,2020.0,Netherlands,Ukraine,3.0,2.0,home_win,3412,0,,win
3788746,Ukraine,449,7,0.593684024,176,10,24,34,8,15,19,0,1555,0,1,away,2021-06-13,Europe - UEFA Euro,2020.0,Netherlands,Ukraine,3.0,2.0,home_win,433,0,,loss
3788747,Austria,605,10,1.441362828,163,14,56,42,20,11,10,0,2075,0,1,home,2021-06-13,Europe - UEFA Euro,2020.0,Austria,North Macedonia,3.0,1.0,home_win,352,0,,win
3788747,North Macedonia,351,7,0.839890515,158,18,49,43,17,13,26,0,1390,0,2,away,2021-06-13,Europe - UEFA Euro,2020.0,Austria,North Macedonia,3.0,1.0,home_win,352,3,442.0,loss
3788748,Czech Republic,386,10,0.8108252389999999,213,7,49,55,13,28,40,0,1586,0,0,away,2021-06-14,Europe - UEFA Euro,2020.0,Scotland,Czech Republic,0.0,2.0,away_win,4231,0,,win
3788748,Scotland,503,19,1.732694706,168,7,74,45,26,23,36,0,1854,0,0,home,2021-06-14,Europe - UEFA Euro,2020.0,Scotland,Czech Republic,0.0,2.0,away_win,352,1,352.0,loss
3788749,Poland,590,18,1.388840045,181,15,45,29,12,10,12,0,1989,1,1,home,2021-06-14,Europe - UEFA Euro,2020.0,Poland,Slovakia,1.0,2.0,away_win,352,1,352.0,loss
3788749,Slovakia,432,11,0.35378829,232,13,32,32,12,23,29,0,1639,0,1,away,2021-06-14,Europe - UEFA Euro,2020.0,Poland,Slovakia,1.0,2.0,away_win,4231,1,4231.0,win
3788750,Spain,946,17,1.927611594,64,8,59,23,10,3,25,0,2887,0,0,home,2021-06-14,Europe - UEFA Euro,2020.0,Spain,Sweden,0.0,0.0,draw,433,2,433.0,draw
3788750,Sweden,173,4,0.815837758,133,15,36,25,10,34,36,0,790,0,1,away,2021-06-14,Europe - UEFA Euro,2020.0,Spain,Sweden,0.0,0.0,draw,442,0,,draw
3788751,France,463,4,0.446023905,177,8,34,33,20,22,25,0,1670,0,0,home,2021-06-15,Europe - UEFA Euro,2020.0,France,Germany,1.0,0.0,home_win,433,0,,win
3788751,Germany,733,10,0.825419428,136,13,50,29,9,13,12,0,2361,0,1,away,2021-06-15,Europe - UEFA Euro,2020.0,France,Germany,1.0,0.0,home_win,3421,2,3421.0,loss
3788752,Hungary,324,5,0.1976213317,190,14,41,34,20,19,24,0,1332,0,2,home,2021-06-15,Europe - UEFA Euro,2020.0,Hungary,Portugal,0.0,3.0,away_win,352,0,,loss
3788752,Portugal,713,11,2.681033704,142,16,46,43,17,14,15,0,2377,0,1,away,2021-06-15,Europe - UEFA Euro,2020.0,Hungary,Portugal,0.0,3.0,away_win,4231,0,,win
3788753,Finland,423,11,0.96505324,189,15,34,49,14,19,42,0,1628,0,2,home,2021-06-16,Europe - UEFA Euro,2020.0,Finland,Russia,0.0,1.0,away_win,352,0,,loss
3788753,Russia,615,14,1.25900864,166,13,74,37,20,7,25,0,2178,0,3,away,2021-06-16,Europe - UEFA Euro,2020.0,Finland,Russia,0.0,1.0,away_win,3421,1,3421.0,win
3788754,Italy,554,13,1.705836299,162,10,44,23,14,15,10,0,1867,0,0,home,2021-06-16,Europe - UEFA Euro,2020.0,Italy,Switzerland,3.0,0.0,home_win,433,2,352.0,win
3788754,Switzerland,563,6,0.3338159763,184,14,40,24,7,12,27,0,1963,0,2,away,2021-06-16,Europe - UEFA Euro,2020.0,Italy,Switzerland,3.0,0.0,home_win,3412,1,3412.0,loss
3788755,Turkey,559,18,1.310312803,160,19,38,39,11,8,27,0,1935,0,2,home,2021-06-16,Europe - UEFA Euro,2020.0,Turkey,Wales,0.0,2.0,away_win,4141,1,4141.0,loss
3788755,Wales,344,16,2.873955951,158,9,37,40,14,15,25,0,1329,0,2,away,2021-06-16,Europe - UEFA Euro,2020.0,Turkey,Wales,0.0,2.0,away_win,4141,0,,win
