match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
9575,Barcelona,685,15,1.163768015,159,17,48,15,26,15,4,0,2303,0,2,home,2017-08-20,Spain - La Liga,2017/2018,Barcelona,Real Betis,2.0,0.0,home_win,4411,2,4411.0,win
9575,Real Betis,450,3,0.19116502200000002,299,17,35,24,14,16,19,0,1783,0,1,away,2017-08-20,Spain - La Liga,2017/2018,Barcelona,Real Betis,2.0,0.0,home_win,433,1,433.0,loss
9581,Barcelona,785,23,2.2130003599999997,107,10,39,25,31,5,9,0,2582,0,3,away,2017-08-26,Spain - La Liga,2017/2018,Deportivo Alavés,Barcelona,0.0,2.0,away_win,433,1,433.0,win
9581,Deportivo Alavés,291,11,0.655419891,272,19,50,40,12,20,20,0,1323,0,2,home,2017-08-26,Spain - La Liga,2017/2018,Deportivo Alavés,Barcelona,0.0,2.0,away_win,451,0,,loss
9592,Barcelona,766,20,3.094808107,149,11,39,16,30,5,20,0,2515,0,1,home,2017-09-09,Spain - La Liga,2017/2018,Barcelona,Espanyol,5.0,0.0,home_win,442,1,4222.0,win
9592,Espanyol,253,9,0.46805163099999997,214,21,42,33,13,7,13,0,1074,0,5,away,2017-09-09,Spain - La Liga,2017/2018,Barcelona,Espanyol,5.0,0.0,home_win,442,0,,loss
9602,Barcelona,709,7,0.5557288659999999,101,15,46,35,31,18,10,0,2335,0,4,away,2017-09-16,Spain - La Liga,2017/2018,Getafe,Barcelona,1.0,2.0,away_win,433,2,433.0,win
9602,Getafe,309,13,0.6546389126,178,23,48,38,13,15,19,0,1258,0,2,home,2017-09-16,Spain - La Liga,2017/2018,Getafe,Barcelona,1.0,2.0,away_win,4231,2,442.0,loss
9609,Barcelona,639,11,2.001458215,137,5,35,31,26,18,16,0,2149,0,0,home,2017-09-19,Spain - La Liga,2017/2018,Barcelona,Eibar,6.0,1.0,home_win,433,0,,win
9609,Eibar,424,13,1.032137608,197,12,31,35,11,22,10,0,1551,0,2,away,2017-09-19,Spain - La Liga,2017/2018,Barcelona,Eibar,6.0,1.0,home_win,4231,1,4231.0,loss
9620,Barcelona,593,10,0.98248872,139,7,36,35,14,19,11,0,1922,0,0,away,2017-09-23,Spain - La Liga,2017/2018,Girona,Barcelona,0.0,3.0,away_win,442,0,,win
9620,Girona,389,14,1.0864782077,239,23,41,26,12,18,8,0,1513,0,3,home,2017-09-23,Spain - La Liga,2017/2018,Girona,Barcelona,0.0,3.0,away_win,3511,0,,loss
9636,Barcelona,538,22,3.100964786,160,13,49,19,31,18,7,0,1947,0,5,home,2017-10-01,Spain - La Liga,2017/2018,Barcelona,Las Palmas,3.0,0.0,home_win,442,1,442.0,win
9636,Las Palmas,588,11,0.568182815,159,13,37,30,14,11,12,0,2077,0,1,away,2017-10-01,Spain - La Liga,2017/2018,Barcelona,Las Palmas,3.0,0.0,home_win,4231,0,,loss
9642,Atlético Madrid,363,5,0.397746746,185,15,40,39,16,32,23,0,1453,0,3,home,2017-10-14,Spain - La Liga,2017/2018,Atlético Madrid,Barcelona,1.0,1.0,draw,442,3,442.0,draw
9642,Barcelona,773,15,1.313994053,93,18,52,22,33,17,9,0,2451,0,2,away,2017-10-14,Spain - La Liga,2017/2018,Atlético Madrid,Barcelona,1.0,1.0,draw,442,1,442.0,draw
9650,Barcelona,746,12,1.817342279,179,10,30,27,34,19,5,0,2450,0,1,home,2017-10-21,Spain - La Liga,2017/2018,Barcelona,Málaga,2.0,0.0,home_win,442,1,442.0,win
9650,Málaga,418,13,0.719506983,203,16,33,29,16,23,13,0,1608,0,4,away,2017-10-21,Spain - La Liga,2017/2018,Barcelona,Málaga,2.0,0.0,home_win,4231,1,442.0,loss
9661,Athletic Club,396,17,1.310543534,221,18,46,30,23,27,11,0,1541,0,1,home,2017-10-28,Spain - La Liga,2017/2018,Athletic Club,Barcelona,0.0,2.0,away_win,4231,0,,loss
9661,Barcelona,600,17,2.655658842,129,15,37,31,33,7,18,0,1973,0,4,away,2017-10-28,Spain - La Liga,2017/2018,Athletic Club,Barcelona,0.0,2.0,away_win,442,1,442.0,win
9673,Barcelona,615,18,1.8726843869999998,111,11,61,28,25,17,10,0,2086,0,1,home,2017-11-04,Spain - La Liga,2017/2018,Barcelona,Sevilla,2.0,1.0,home_win,442,2,442.0,win
9673,Sevilla,569,8,0.480070253,195,15,34,30,10,18,15,0,2012,0,0,away,2017-11-04,Spain - La Liga,2017/2018,Barcelona,Sevilla,2.0,1.0,home_win,4231,0,,loss
9682,Barcelona,653,11,1.76472795,120,13,50,34,21,12,22,0,2218,0,2,away,2017-11-18,Spain - La Liga,2017/2018,Leganés,Barcelona,0.0,3.0,away_win,442,1,442.0,win
9682,Leganés,319,18,1.2832229555,201,28,52,39,15,23,8,0,1297,0,1,home,2017-11-18,Spain - La Liga,2017/2018,Leganés,Barcelona,0.0,3.0,away_win,4231,2,4231.0,loss
9695,Barcelona,798,12,0.9133596747,125,14,55,29,26,16,10,0,2560,0,0,away,2017-11-26,Spain - La Liga,2017/2018,Valencia,Barcelona,1.0,1.0,draw,442,0,,draw
9695,Valencia,356,9,1.100298345,216,14,32,40,15,27,18,0,1442,0,4,home,2017-11-26,Spain - La Liga,2017/2018,Valencia,Barcelona,1.0,1.0,draw,442,1,442.0,draw
9700,Barcelona,775,22,3.29798127,128,11,66,29,22,16,13,0,2561,0,3,home,2017-12-02,Spain - La Liga,2017/2018,Barcelona,Celta Vigo,2.0,2.0,draw,41212,0,,draw
9700,Celta Vigo,425,10,1.673003012,179,14,50,31,10,19,23,0,1586,0,6,away,2017-12-02,Spain - La Liga,2017/2018,Barcelona,Celta Vigo,2.0,2.0,draw,442,1,442.0,draw
9717,Barcelona,809,16,3.222045162,215,13,41,20,29,15,5,0,2680,0,1,away,2017-12-10,Spain - La Liga,2017/2018,Villarreal,Barcelona,0.0,2.0,away_win,442,1,442.0,win
9717,Villarreal,382,9,0.566564353,199,22,30,27,7,23,9,0,1457,1,2,home,2017-12-10,Spain - La Liga,2017/2018,Villarreal,Barcelona,0.0,2.0,away_win,451,3,451.0,loss
9726,Barcelona,687,23,6.151456335,114,15,57,19,28,17,14,0,2335,0,0,home,2017-12-17,Spain - La Liga,2017/2018,Barcelona,RC Deportivo La Coruña,4.0,0.0,home_win,442,1,442.0,win
9726,RC Deportivo La Coruña,451,10,0.310851873,181,16,46,29,24,18,16,0,1668,0,1,away,2017-12-17,Spain - La Liga,2017/2018,Barcelona,RC Deportivo La Coruña,4.0,0.0,home_win,4231,2,442.0,loss
9736,Barcelona,597,18,3.343821991,224,12,35,20,28,16,15,0,2182,0,2,away,2017-12-23,Spain - La Liga,2017/2018,Real Madrid,Barcelona,0.0,3.0,away_win,442,1,442.0,win
9736,Real Madrid,495,13,0.9102945754,295,16,34,20,12,10,9,0,1919,1,2,home,2017-12-23,Spain - La Liga,2017/2018,Real Madrid,Barcelona,0.0,3.0,away_win,442,2,433.0,loss
