match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
70256,Barcelona,691,6,0.385957129,152,12,64,35,21,4,20,0,2358,0,3,away,2013-03-30,Spain - La Liga,2012/2013,Celta Vigo,Barcelona,2.0,2.0,draw,433,0,,draw
70256,Celta Vigo,301,7,1.091393276,143,18,44,37,12,9,31,0,1159,0,4,home,2013-03-30,Spain - La Liga,2012/2013,Celta Vigo,Barcelona,2.0,2.0,draw,4411,1,4411.0,draw
70259,Barcelona,826,18,1.528663496,104,12,48,22,23,10,26,0,2747,0,2,home,2012-08-19,Spain - La Liga,2012/2013,Barcelona,Real Sociedad,5.0,1.0,home_win,433,0,,win
70259,Real Sociedad,326,6,0.6209243857,90,15,35,27,13,10,18,0,1100,0,3,away,2012-08-19,Spain - La Liga,2012/2013,Barcelona,Real Sociedad,5.0,1.0,home_win,433,0,,loss
70260,Barcelona,886,19,3.2824488636,81,10,50,32,25,1,14,0,2718,0,1,home,2013-01-27,Spain - La Liga,2012/2013,Barcelona,Osasuna,5.0,1.0,home_win,433,0,,win
70260,Osasuna,279,3,0.225478541,150,13,49,35,8,14,29,0,1095,1,2,away,2013-01-27,Spain - La Liga,2012/2013,Barcelona,Osasuna,5.0,1.0,home_win,4231,2,4231.0,loss
70262,Barcelona,635,15,1.727265434,91,11,69,39,33,4,26,0,2182,0,3,away,2012-08-26,Spain - La Liga,2012/2013,Osasuna,Barcelona,1.0,2.0,away_win,433,1,433.0,win
70262,Osasuna,307,15,1.333632508,162,20,46,41,21,15,25,0,1166,1,6,home,2012-08-26,Spain - La Liga,2012/2013,Osasuna,Barcelona,1.0,2.0,away_win,4231,0,,loss
70263,Athletic Club,558,6,0.601128423,193,13,55,32,20,8,17,0,1959,0,3,away,2012-12-01,Spain - La Liga,2012/2013,Barcelona,Athletic Club,5.0,1.0,home_win,433,1,433.0,loss
70263,Barcelona,707,16,2.558066808,180,8,72,22,30,10,7,0,2478,0,1,home,2012-12-01,Spain - La Liga,2012/2013,Barcelona,Athletic Club,5.0,1.0,home_win,433,0,,win
