match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3802643,Paris Saint-Germain,633,14,1.883982864,172,7,34,20,24,19,14,0,2228,0,3,away,2022-04-29,France - Ligue 1,2021/2022,Strasbourg,Paris Saint-Germain,3.0,3.0,draw,343,0,,draw
3802643,Strasbourg,491,14,1.4863644219999999,193,15,42,29,8,20,4,0,1781,0,3,home,2022-04-29,France - Ligue 1,2021/2022,Strasbourg,Paris Saint-Germain,3.0,3.0,draw,352,2,352.0,draw
3802665,Montpellier,344,10,0.3563691511,153,9,35,21,16,21,3,0,1315,0,2,home,2022-05-14,France - Ligue 1,2021/2022,Montpellier,Paris Saint-Germain,0.0,4.0,away_win,343,3,442.0,loss
3802665,Paris Saint-Germain,783,15,2.75667719,142,8,32,23,28,10,6,0,2585,0,4,away,2022-05-14,France - Ligue 1,2021/2022,Montpellier,Paris Saint-Germain,0.0,4.0,away_win,433,3,433.0,win
3802676,Lens,408,8,0.8457759843,115,12,33,24,19,16,9,0,1429,1,1,away,2022-04-23,France - Ligue 1,2021/2022,Paris Saint-Germain,Lens,1.0,1.0,draw,343,2,3511.0,draw
3802676,Paris Saint-Germain,766,18,1.967963255,137,18,35,15,16,12,9,0,2469,0,4,home,2022-04-23,France - Ligue 1,2021/2022,Paris Saint-Germain,Lens,1.0,1.0,draw,343,0,,draw
3802683,AS Monaco,519,13,0.693591255,168,19,49,32,13,15,3,0,1818,0,4,away,2021-12-12,France - Ligue 1,2021/2022,Paris Saint-Germain,AS Monaco,2.0,0.0,home_win,4231,2,4231.0,loss
3802683,Paris Saint-Germain,577,9,1.46263696,119,8,41,21,21,15,9,0,2020,0,3,home,2021-12-12,France - Ligue 1,2021/2022,Paris Saint-Germain,AS Monaco,2.0,0.0,home_win,433,3,442.0,win
3802685,Lens,421,18,1.068318371,146,12,44,15,15,15,11,0,1557,0,2,home,2021-12-04,France - Ligue 1,2021/2022,Lens,Paris Saint-Germain,1.0,1.0,draw,343,1,343.0,draw
3802685,Paris Saint-Germain,738,13,1.698122331,136,10,40,23,14,17,14,0,2404,0,2,away,2021-12-04,France - Ligue 1,2021/2022,Lens,Paris Saint-Germain,1.0,1.0,draw,433,0,,draw
3802690,Lorient,256,17,1.2862675505,137,8,48,28,14,23,25,0,1126,0,1,home,2021-12-22,France - Ligue 1,2021/2022,Lorient,Paris Saint-Germain,1.0,1.0,draw,442,1,343.0,draw
3802690,Paris Saint-Germain,838,17,2.0402220155,122,10,49,26,30,12,12,0,2725,1,2,away,2021-12-22,France - Ligue 1,2021/2022,Lorient,Paris Saint-Germain,1.0,1.0,draw,442,2,442.0,draw
3802696,Paris Saint-Germain,763,12,1.011614912,103,13,43,23,18,15,10,0,2459,0,3,away,2021-08-29,France - Ligue 1,2021/2022,Stade de Reims,Paris Saint-Germain,0.0,2.0,away_win,433,2,433.0,win
3802696,Stade de Reims,393,11,0.5733577915,185,14,51,39,22,23,12,0,1594,0,1,home,2021-08-29,France - Ligue 1,2021/2022,Stade de Reims,Paris Saint-Germain,0.0,2.0,away_win,352,2,352.0,loss
3802699,Lille,416,11,1.737455434,121,12,35,36,13,12,12,0,1526,0,5,away,2021-10-29,France - Ligue 1,2021/2022,Paris Saint-Germain,Lille,2.0,1.0,home_win,442,1,442.0,loss
3802699,Paris Saint-Germain,609,17,2.41004177,123,8,30,22,22,15,7,0,2068,0,1,home,2021-10-29,France - Ligue 1,2021/2022,Paris Saint-Germain,Lille,2.0,1.0,home_win,433,3,352.0,win
3802709,Paris Saint-Germain,667,21,2.043199122,111,10,40,20,17,11,14,0,2181,0,2,home,2022-02-26,France - Ligue 1,2021/2022,Paris Saint-Germain,Saint-Étienne,3.0,1.0,home_win,433,2,4231.0,win
3802709,Saint-Étienne,399,13,0.864011098,207,13,44,30,17,12,15,0,1586,0,1,away,2022-02-26,France - Ligue 1,2021/2022,Paris Saint-Germain,Saint-Étienne,3.0,1.0,home_win,343,1,442.0,loss
3802752,Lyon,479,12,0.6762198605,167,19,35,27,22,11,15,0,1745,0,1,away,2021-09-19,France - Ligue 1,2021/2022,Paris Saint-Germain,Lyon,2.0,1.0,home_win,4231,0,,loss
