match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3877060,Inter Miami,485,6,1.383781901,176,12,49,39,16,15,16,0,1765,0,1,away,2023-08-27,United States of America - Major League Soccer,2023,New York Red Bulls,Inter Miami,0,2,away_win,343,2,343.0,win
3877060,New York Red Bulls,484,13,1.108598745,184,8,54,25,23,8,12,0,1775,0,2,home,2023-08-27,United States of America - Major League Soccer,2023,New York Red Bulls,Inter Miami,0,2,away_win,4141,3,4141.0,loss
3877072,Inter Miami,754,13,0.666626959,126,17,31,23,8,13,10,0,2429,0,4,home,2023-08-31,United States of America - Major League Soccer,2023,Inter Miami,Nashville SC,0,0,draw,442,1,442.0,draw
3877072,Nashville SC,335,7,0.550400321,159,12,37,12,18,7,19,0,1265,0,2,away,2023-08-31,United States of America - Major League Soccer,2023,Inter Miami,Nashville SC,0,0,draw,442,4,4141.0,draw
3877090,Inter Miami,465,9,1.787568815,147,13,57,26,20,14,22,0,1725,0,3,away,2023-09-04,United States of America - Major League Soccer,2023,LAFC,Inter Miami,1,3,away_win,352,0,,win
3877090,LAFC,436,22,1.865869658,174,18,59,33,22,15,7,0,1670,0,4,home,2023-09-04,United States of America - Major League Soccer,2023,LAFC,Inter Miami,1,3,away_win,433,3,433.0,loss
3877115,Inter Miami,719,13,1.027897513,161,20,50,31,13,10,10,0,2342,0,0,home,2023-09-21,United States of America - Major League Soccer,2023,Inter Miami,Toronto FC,4,0,home_win,352,2,433.0,win
3877115,Toronto FC,485,8,0.780201076,172,7,42,15,22,16,10,0,1796,0,0,away,2023-09-21,United States of America - Major League Soccer,2023,Inter Miami,Toronto FC,4,0,home_win,433,1,433.0,loss
3877170,Cincinnati,363,15,2.134134021,177,16,53,24,21,11,19,0,1452,0,2,away,2023-10-08,United States of America - Major League Soccer,2023,Inter Miami,Cincinnati,0,1,away_win,3412,2,352.0,win
3877170,Inter Miami,579,18,1.227382868,139,14,48,34,17,8,14,0,2015,0,0,home,2023-10-08,United States of America - Major League Soccer,2023,Inter Miami,Cincinnati,0,1,away_win,3511,3,433.0,loss
3877194,Charlotte,405,11,0.984387534,176,14,47,23,8,17,22,0,1500,0,4,home,2023-10-22,United States of America - Major League Soccer,2023,Charlotte,Inter Miami,1,0,home_win,4141,1,4141.0,win
3877194,Inter Miami,641,11,1.102306365,143,10,47,22,11,12,12,0,2052,0,2,away,2023-10-22,United States of America - Major League Soccer,2023,Charlotte,Inter Miami,1,0,home_win,433,2,433.0,loss
