match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3857254,Denmark,646,11,1.566558758,109,13,44,30,14,10,20,0,2146,0,2,home,2022-11-22,International - FIFA World Cup,2022,Denmark,Tunisia,0,0,draw,352,2,4231.0,draw
3857254,Tunisia,417,13,1.059935118,130,10,51,46,16,12,33,0,1534,0,1,away,2022-11-22,International - FIFA World Cup,2022,Denmark,Tunisia,0,0,draw,343,1,343.0,draw
3857255,Japan,253,6,1.157800672,229,11,23,27,6,14,22,0,1068,0,3,home,2022-12-01,International - FIFA World Cup,2022,Japan,Spain,2,1,home_win,343,1,343.0,win
3857255,Spain,1093,12,0.857712208,89,8,56,28,18,9,4,0,3382,0,0,away,2022-12-01,International - FIFA World Cup,2022,Japan,Spain,2,1,home_win,433,2,433.0,loss
3857256,Serbia,521,12,1.1890035350000001,94,21,52,34,6,5,9,0,1723,0,7,home,2022-12-02,International - FIFA World Cup,2022,Serbia,Switzerland,2,3,away_win,3412,1,3412.0,loss
3857256,Switzerland,445,14,3.1035154719999998,83,14,40,34,6,18,27,0,1488,0,4,away,2022-12-02,International - FIFA World Cup,2022,Serbia,Switzerland,2,3,away_win,4231,1,4231.0,win
3857257,Australia,350,8,0.469723377,101,12,39,40,16,11,29,0,1243,0,2,home,2022-11-30,International - FIFA World Cup,2022,Australia,Denmark,1,0,home_win,442,4,343.0,win
3857257,Denmark,715,14,0.737154632,101,10,49,50,18,12,27,0,2351,0,1,away,2022-11-30,International - FIFA World Cup,2022,Australia,Denmark,1,0,home_win,433,1,442.0,loss
3857258,Brazil,618,23,2.1238895187,102,8,56,39,22,8,22,0,2101,0,0,home,2022-11-24,International - FIFA World Cup,2022,Brazil,Serbia,2,0,home_win,4231,2,4231.0,win
3857258,Serbia,446,5,0.163327144,147,11,36,33,10,11,19,0,1555,0,3,away,2022-11-24,International - FIFA World Cup,2022,Brazil,Serbia,2,0,home_win,3421,2,352.0,loss
3857259,Cameroon,395,13,2.0703093487,118,9,51,31,20,20,23,0,1384,0,2,home,2022-11-28,International - FIFA World Cup,2022,Cameroon,Serbia,3,3,draw,433,3,4231.0,draw
3857259,Serbia,536,15,1.7380672830000001,119,16,50,37,7,9,33,0,1886,0,2,away,2022-11-28,International - FIFA World Cup,2022,Cameroon,Serbia,3,3,draw,3421,2,352.0,draw
3857260,Mexico,488,26,2.3221233279,139,18,64,34,12,15,21,0,1683,0,1,away,2022-11-30,International - FIFA World Cup,2022,Saudi Arabia,Mexico,1,2,away_win,4231,3,442.0,win
3857260,Saudi Arabia,322,10,1.076111142,129,21,57,37,11,15,30,0,1229,0,6,home,2022-11-30,International - FIFA World Cup,2022,Saudi Arabia,Mexico,1,2,away_win,442,4,343.0,loss
3857261,England,630,18,2.91548517,74,11,35,20,18,9,9,0,2042,0,0,away,2022-11-29,International - FIFA World Cup,2022,Wales,England,0,3,away_win,433,2,433.0,win
3857261,Wales,351,7,0.20800949800000001,136,19,25,34,6,4,14,0,1274,0,2,home,2022-11-29,International - FIFA World Cup,2022,Wales,England,0,3,away_win,4231,1,4231.0,loss
3857262,Portugal,619,13,0.973722266,83,10,43,35,21,6,19,0,2016,0,0,away,2022-12-02,International - FIFA World Cup,2022,South Korea,Portugal,2,1,home_win,433,3,433.0,loss
3857262,South Korea,388,12,1.3989824739999999,111,9,47,23,9,7,29,0,1363,0,2,home,2022-12-02,International - FIFA World Cup,2022,South Korea,Portugal,2,1,home_win,433,3,343.0,win
3857263,Germany,371,11,1.1469521137,158,15,45,40,24,19,15,0,1418,0,3,away,2022-11-27,International - FIFA World Cup,2022,Spain,Germany,1,1,draw,4231,1,4231.0,draw
3857263,Spain,663,7,0.6395007165,124,14,38,22,18,12,16,0,2185,0,1,home,2022-11-27,International - FIFA World Cup,2022,Spain,Germany,1,1,draw,433,2,433.0,draw
3857264,Argentina,909,24,3.076659699,88,12,53,27,17,7,7,0,2843,0,1,away,2022-11-30,International - FIFA World Cup,2022,Poland,Argentina,0,2,away_win,433,4,343.0,win
3857264,Poland,337,4,0.19759524499999997,105,9,24,32,7,10,32,0,1209,0,1,home,2022-11-30,International - FIFA World Cup,2022,Poland,Argentina,0,2,away_win,442,2,442.0,loss
3857265,Mexico,544,11,0.5291349314,96,14,49,43,9,8,21,0,1822,0,2,home,2022-11-22,International - FIFA World Cup,2022,Mexico,Poland,0,0,draw,433,1,433.0,draw
3857265,Poland,362,6,1.137926228,135,15,49,31,14,8,28,0,1362,0,1,away,2022-11-22,International - FIFA World Cup,2022,Mexico,Poland,0,0,draw,4141,2,442.0,draw
3857266,Denmark,567,10,0.8885438419999999,126,11,36,41,15,11,17,0,1936,0,2,away,2022-11-26,International - FIFA World Cup,2022,France,Denmark,2,1,home_win,343,1,352.0,loss
3857266,France,540,21,1.933569429,109,4,38,41,25,15,17,0,1916,0,1,home,2022-11-26,International - FIFA World Cup,2022,France,Denmark,2,1,home_win,4231,1,433.0,win
3857267,Ecuador,465,9,1.0016627869999999,113,23,41,39,7,9,29,0,1624,0,0,home,2022-11-29,International - FIFA World Cup,2022,Ecuador,Senegal,1,2,away_win,433,1,442.0,loss
3857267,Senegal,311,13,1.70746471,126,10,58,31,20,7,39,0,1204,0,1,away,2022-11-29,International - FIFA World Cup,2022,Ecuador,Senegal,1,2,away_win,4231,2,343.0,win
