match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
22921,France Women's,641,21,1.143879698,104,12,47,16,17,9,10,0,2063,0,0,home,2019-06-07,International - Women's World Cup,2019.0,France Women's,Korea Republic Women's,4.0,0.0,home_win,442,2,4231.0,win
22921,Korea Republic Women's,328,5,0.286732512,167,11,47,27,12,7,45,0,1340,0,0,away,2019-06-07,International - Women's World Cup,2019.0,France Women's,Korea Republic Women's,4.0,0.0,home_win,4411,0,,loss
22924,Nigeria Women's,332,10,0.797710509,176,11,63,38,28,7,23,0,1361,0,2,away,2019-06-08,International - Women's World Cup,2019.0,Norway Women's,Nigeria Women's,3.0,0.0,home_win,4231,4,4231.0,loss
22924,Norway Women's,470,10,0.7858000190000001,119,7,50,31,34,7,23,0,1710,0,0,home,2019-06-08,International - Women's World Cup,2019.0,Norway Women's,Nigeria Women's,3.0,0.0,home_win,442,0,,win
22926,China PR Women's,344,5,0.556224445,118,24,58,54,18,10,80,0,1378,0,4,away,2019-06-08,International - Women's World Cup,2019.0,Germany Women's,China PR Women's,1.0,0.0,home_win,442,2,442.0,loss
22926,Germany Women's,541,16,0.982400505,168,7,85,44,29,9,19,0,2021,0,1,home,2019-06-08,International - Women's World Cup,2019.0,Germany Women's,China PR Women's,1.0,0.0,home_win,451,2,451.0,win
22930,South Africa Women's,216,4,0.39702972,301,14,65,32,17,15,67,0,1230,1,3,away,2019-06-08,International - Women's World Cup,2019.0,Spain Women's,South Africa Women's,3.0,1.0,home_win,442,0,,loss
22930,Spain Women's,625,28,4.3168905504,169,11,63,22,35,11,21,0,2239,0,1,home,2019-06-08,International - Women's World Cup,2019.0,Spain Women's,South Africa Women's,3.0,1.0,home_win,433,1,433.0,win
22933,Australia Women's,495,16,2.968020948,102,20,66,27,13,6,29,0,1730,0,1,home,2019-06-09,International - Women's World Cup,2019.0,Australia Women's,Italy Women's,1.0,2.0,away_win,451,0,,loss
22933,Italy Women's,302,6,0.4505479603,105,20,50,30,10,8,30,0,1159,0,3,away,2019-06-09,International - Women's World Cup,2019.0,Australia Women's,Italy Women's,1.0,2.0,away_win,41212,1,4321.0,win
22934,Brazil Women's,476,17,2.5194792102,140,17,63,38,19,8,14,0,1723,0,2,home,2019-06-09,International - Women's World Cup,2019.0,Brazil Women's,Jamaica Women's,3.0,0.0,home_win,442,2,442.0,win
22934,Jamaica Women's,299,12,0.49637214999999996,89,10,78,31,28,8,25,0,1221,0,1,away,2019-06-09,International - Women's World Cup,2019.0,Brazil Women's,Jamaica Women's,3.0,0.0,home_win,433,0,,loss
